('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 1, 1),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 2, 2),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 3, 10),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 4, 2),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 5, 2),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 6, 8),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 7, 8),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 8, 2),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 9, 10),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 10, 7),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 11, 8),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 12, 1),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 13, 8),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 14, 7),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 15, 6),
('2024-12-03 00:00:00', '2024-12-10 00:00:00', NOW(), NOW(), 16, 3),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 17, 2),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 18, 7),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 7, 8),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 14, 1),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 1, 2),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 12, 9),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 10, 5),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 15, 9),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 3, 1),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 5, 2),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 13, 4),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 8, 4),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 16, 2),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 4, 5),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 6, 3),
('2024-12-04 00:00:00', '2024-12-11 00:00:00', NOW(), NOW(), 9, 3),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 19, 7),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 20, 2),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 9, 8),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 5, 9),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 1, 2),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 2, 9),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 6, 10),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 16, 1),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 18, 6),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 7, 6),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 11, 9),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 8, 7),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 4, 6),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 14, 10),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 15, 8),
('2024-12-05 00:00:00', '2024-12-12 00:00:00', NOW(), NOW(), 3, 10),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 21, 3),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 22, 5),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 10, 2),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 16, 6),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 5, 3),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 19, 5),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 20, 1),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 2, 5),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 6, 1),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 1, 3),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 8, 3),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 14, 5),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 15, 1),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 7, 9),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 17, 6),
('2024-12-06 00:00:00', '2024-12-13 00:00:00', NOW(), NOW(), 13, 4),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 23, 4),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 24, 5),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 6, 8),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 1, 6),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 5, 10),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 20, 10),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 10, 2),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 15, 7),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 12, 7),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 11, 4),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 9, 2),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 3, 10),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 4, 1),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 14, 7),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 13, 3),
('2024-12-09 00:00:00', '2024-12-16 00:00:00', NOW(), NOW(), 17, 5),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 25, 2),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 26, 7),
('2024-12-10 00:00:00', '2024-12-17 00:00:00', NOW(), NOW(), 27, 7),
